company,link
Uniswap,https://www.notion.so/Welcome-to-UNI-Grants-6e3e84967a984a5fb127ae749649ddc9/?ref=blockchaingrants.org
Gitcoin,https://gitcoin.co/grants/explorer/collections/?ref=blockchaingrants.org
Solana,https://solana.com/grants
mStable,https://github.com/mstable/mStable-dev-grants
Curve,https://news.curve.fi/community-grants/?ref=blockchaingrants.org
Coreum,https://www.coreum.com/grants/?ref=blockchaingrants.org
Alpha Finance,https://alphafinancelab.gitbook.io/alpha-finance-lab/alpha-grants-program/alpha-builders-open-grants/grant-1-alpha-dashboard#grant/?ref=blockchaingrants.org
Pool Together,https://poolgrants.org/?ref=blockchaingrants.org
Aave,https://aavegrants.org/
Maker DAO,https://community-development.makerdao.com/en/programs/development-grants/%60
Ethereum,https://esp.ethereum.foundation/en/inquire/
Chainlink,https://chain.link/community/grants
Filecoin,https://grants.filecoin.io/
Gnosis,https://github.com/gnosis/GECO
Kraken,https://www.kraken.com/en-us/features/grants
Bloom Grants,https://oasisprotocol.org/ecosystem-grants
Nervos,https://www.nervos.org/developer/grants/
Nexus Mutual,https://medium.com/nexus-mutual/our-community-grants-programme-is-live-cd4b10451405
Avalanche,https://www.avax.network/avalanche-x
Polkadot,https://github.com/w3f/Open-Grants-Program#wave-introduction
Flow,https://docs.onflow.org/
0x,https://0x.org/eap
Algorand,https://algorand.foundation/grants-program
Compound,https://compoundgrants.org/?ref=blockchaingrants.org
Mina,https://minaprotocol.com/grants
Ocean DAO,https://oceanprotocol.com/dao
OKCoin,https://developergrant.okcoin.com/
Binance Smart,https://binancex.dev/
Consensys,https://consensys.net/grants
Interchain,https://interchain.io/funding/
Kadena,https://github.com/kadena-io/technical-grants
Stacks,https://github.com/stacksgov/Stacks-Grants
Zcash,https://grants.zfnd.org/
tezos,https://grants.tezos.foundation/
Audius,https://airtable.com/shrMtQColSwK0IE3N
Harmony,https://open.harmony.one/300m-on-bounties-grants-daos
Skale,https://p2e.skale.network/mp
@absurdfounder,https://twitter.com/absurdfounder
